84,TutorAI,TutorAI,Education,Personalized AI Learning Tutor,Text,Lessons,"Adaptive learning assistant that provides personalized lessons, explanations, and practice questions. Helps students across subjects by adjusting teaching style to their progress and comprehension.",Freemium,Beginner,Web,English,4.4,Medium,83%,Fast,Education,https://tutorai.me/,
85,Builder.ai,Builder.ai,Development,No-Code AI App Builder,Text,Apps,"AI-powered development platform that generates entire mobile and web apps without coding. Supports customization, scaling, and deployment for businesses.",Paid,Enterprise,"Web, API",Multilingual,4.5,Medium,86%,Medium,Development,https://www.builder.ai/,
86,Wiseone,Wiseone,Research,AI Reading & Content Explanation Assistant,Text,Summaries,"AI browser extension that explains online content, simplifies complex articles, and provides contextual insights. Aimed at knowledge workers and students who need faster comprehension.",Freemium,Beginner,"Web, Plugin",English,4.3,Medium,80%,Fast,Research,https://wiseone.io/,
87,CopySmith,CopySmith,Marketing,AI Copywriting Platform,Text,Marketing Copy,"AI-powered platform for generating product descriptions, ad copy, and email campaigns. Tailored for e-commerce and marketing teams seeking efficiency at scale.",Paid,Intermediate,"Web, API",English,4.3,Medium,84%,Fast,Marketing,https://copysmith.ai/,
88,Firefly AI,Adobe,Design,Generative Image Creation in Adobe Suite,Text,Images,AI image generation integrated into Adobe Creative Cloud. Enables designers to create realistic or stylized visuals while maintaining brand assets within Photoshop and Illustrator workflows.,Paid,Intermediate,"Plugin, API",Multilingual,4.5,High,90%,Fast,Design,https://www.adobe.com/sensei/generative-ai/firefly.html,
89,Hexagram AI,Hexagram,Marketing,AI Interactive Campaign Creator,Text,Campaigns,Marketing-focused AI tool that generates interactive advertising campaigns and story-driven brand experiences. Designed for agencies looking to increase engagement through gamified content.,Freemium,Intermediate,"Web, API",English,4.2,Medium,79%,Medium,Marketing,https://hexagram.io/,
90,AI Dungeon,Latitude,Gaming,Dynamic Roleplay Story Generator,Text,Interactive RP,"AI roleplaying platform that creates dynamic, branching storylines. Players can explore infinite adventures with real-time narrative adaptation. Popular among gaming and creative communities.",Freemium,Beginner,"Web, Mobile App",English,4.4,Medium,85%,Medium,Gaming,https://play.aidungeon.io/,
91,FlowGPT,FlowGPT,Productivity & Workflow,Community AI Prompt Marketplace,Text,Prompts,"Community-driven platform for discovering, sharing, and rating AI prompts. Helps users maximize productivity and creativity by leveraging tested prompt engineering techniques.",Free,Beginner,Web,English,4.5,High,87%,Fast,Productivity,https://flowgpt.com/,
92,Wist Labs,Wist Labs,Video,AI-Powered Interactive Video Editor,Video,Edited Videos,"AI video editor that cuts, enhances, and adds interactivity to video content. Designed for creators who want to engage audiences with clickable and immersive video experiences.",Freemium,Intermediate,Web,English,4.1,Low,77%,Medium,Video,https://wistlabs.com/,
93,Vidyo.AI,Vidyo,Video,Podcast/Video Repurposing AI,Video,Short Clips,AI platform that automatically converts podcasts and long-form videos into social-ready short clips. Includes auto-captioning and viral formatting.,Freemium,Beginner,Web,English,4.5,Medium,86%,Fast,Video Editing,https://vidyo.ai/,
94,Flair AI,Flair,Design,Brand Asset & Marketing Visual Generator,Text/Image,Visual Assets,"AI-powered tool for generating branded marketing visuals, product imagery, and design elements. Helps small businesses scale design efforts without full-time design staff.",Freemium,Beginner,Web,Multilingual,4.5,Medium,84%,Fast,Design,https://flair.ai/,
95,Uizard,Uizard,Design,Text-to-UI Mockup & Wireframe Generator,Text/Image,UI Mockups,"Transforms sketches, screenshots, or text prompts into UI mockups and interactive wireframes. Useful for designers, developers, and product teams working on app and web design.",Freemium,Beginner,Web,Multilingual,4.6,High,89%,Fast,Design,https://uizard.io/,
96,Galeby AI,Galeby,Productivity & Workflow,AI Document Knowledge Assistant,Text,Answers,AI platform for querying and retrieving answers from enterprise or personal documents. Designed to support knowledge management and internal business processes.,Freemium,Intermediate,"Web, API",English,4.2,Low,78%,Medium,Productivity,https://galeby.com/,
97,Unbounce Smart Copy,Unbounce,Marketing,Landing Page & Ad Copy Generator,Text,Copy,"AI copy generator focused on landing pages, ads, and marketing campaigns. Designed to increase conversions through optimized text tailored to target audiences.",Freemium,Beginner,Web,English,4.4,Medium,83%,Medium,Marketing,https://unbounce.com/smart-copy/,
98,Cuff,Cuff,Productivity & Workflow,AI Team Productivity Tracker,Text,Reports,AI tool for tracking team productivity and providing summaries of time usage. Helps managers optimize workflows and identify bottlenecks.,Freemium,Beginner,Web,English,4.1,Low,75%,Medium,Productivity,https://getcuff.com/,
99,Tella,Tella,Video,AI Screen Recording & Editing Tool,Video,Recordings,"Screen and webcam recording tool enhanced with AI features like auto-editing, captioning, and presentation structuring.",Freemium,Beginner,Web,English,4.5,Medium,85%,Medium,Video,https://tella.tv/,
100,Looria,Looria,Research,AI Product Recommendation Engine,Text,Product Lists,"AI-driven product discovery platform that suggests best options based on user needs and reviews. Helps consumers save time by comparing specs, prices, and features.",Free,Beginner,Web,English,4.3,Medium,82%,Fast,Research,https://www.looria.com/,
101,Browse AI,Browse AI,Automation,No-Code Web Scraping & Monitoring,Text,Data,"AI tool for building scrapers and monitoring websites without code. Captures structured data and exports it for business, research, and analytics use cases.",Freemium,Intermediate,Web,English,4.5,High,88%,Medium,Automation,https://www.browse.ai/,
102,Vise AI,Vise,Finance,AI Portfolio Management Assistant,Text,Reports,"Portfolio intelligence platform for financial advisors. Uses AI to generate reports, insights, and portfolio optimization recommendations.",Paid,Enterprise,"Web, API",English,4.3,Medium,83%,Medium,Finance,https://www.vise.com/,
103,Tableau Pulse AI,Salesforce,Analytics,AI BI Insights Assistant,Text,Dashboards,"Embedded AI assistant inside Tableau that enables natural language queries, anomaly detection, and automated insights in dashboards.",Paid,Enterprise,"Web, Plugin",English,4.6,High,90%,Medium,Analytics,https://www.tableau.com/,
104,Copilot Studio,Microsoft,Productivity & Workflow,Custom Enterprise Copilot Builder,Text,Bots,"Platform for building custom AI copilots integrated into Microsoft 365 and enterprise systems. Supports workflow automation, conversational bots, and knowledge retrieval.",Paid,Enterprise,"Web, API",Multilingual,4.6,High,91%,Medium,Productivity,https://www.microsoft.com/en-us/microsoft-copilot-studio,
105,Lumen5,Lumen5,Video,AI Marketing Video Creator,Text,Videos,"AI-powered video creation platform that transforms blog posts and text into social-ready videos with templates, transitions, and branding tools.",Freemium,Beginner,Web,English,4.6,Medium,87%,Fast,Video,https://lumen5.com/,
106,EmbedBot,EmbedBot,Automation,AI Chatbot Builder from Documents,Text,Bots,"Lets users create AI-powered chatbots trained on documents or websites. Useful for customer support, onboarding, and interactive FAQs.",Freemium,Intermediate,"Web, API",English,4.3,Medium,80%,Medium,Automation,https://www.embedbot.com/,
107,Athenian,Athenian,Analytics,Engineering Performance Insights,Text,Reports,"Provides analytics for engineering teams by measuring productivity, bottlenecks, and code velocity. Helps managers make data-driven decisions about developer performance.",Paid,Enterprise,"Web, API",English,4.2,Low,78%,Medium,Analytics,https://athenian.com/,
108,Livedoc,Livedoc,Productivity & Workflow,AI Document Collaboration Assistant,Text,Documents,"Collaborative documentation platform enhanced with AI summarization, knowledge retrieval, and content suggestions for teams.",Freemium,Intermediate,Web,English,4.3,Low,79%,Medium,Productivity,https://livedoc.ai/,
109,Wysa,Wysa,Health,AI Mental Health Chatbot & CBT Coach,Text,Conversations,"AI mental health chatbot providing CBT (Cognitive Behavioral Therapy) based exercises, journaling, and emotional support. Widely used for self-care and stress management.",Freemium,Beginner,Mobile App,English,4.6,High,89%,Medium,Health,https://wysa.io/,
110,Fireworks AI,Fireworks AI,Development,AI Model Deployment & Hosting Platform,Text,APIs,"Provides infrastructure for deploying, scaling, and serving custom AI models through APIs. Aimed at developers and enterprises needing production-ready model hosting.",Paid,Developer,"API, Web",English,4.4,Medium,85%,Medium,Development,https://fireworks.ai/,
111,Postwise,Postwise,Marketing,AI Social Media Post Writer & Scheduler,Text,Posts,"Social media content tool that generates posts for LinkedIn and X (Twitter). Includes scheduling, analytics, and engagement optimization.",Freemium,Beginner,Web,English,4.3,Medium,82%,Fast,Marketing,https://postwise.ai/,
112,Akri,Akri,Automation,AI Data Pipeline & System Connector,Text,Pipelines,"AI-based middleware that connects data sources, APIs, and workflows into automated pipelines. Helps businesses unify disconnected systems with minimal engineering effort.",Freemium,Developer,"API, Web",English,4.2,Low,77%,Medium,Automation,https://akri.io/,
113,Supermeme.ai,Supermeme.ai,Social Media,AI Meme Generator with Contextual Awareness,Text/Image,Memes,AI tool that generates memes from text prompts or uploaded images. Adds humor and context for social campaigns. Popular among marketers and content creators for viral engagement.,Freemium,Beginner,Web,Multilingual,4.4,Medium,83%,Fast,Social Media,https://www.supermeme.ai/,
114,Durable,Durable,Development,AI Website Builder for Businesses,Text,Websites,"No-code AI website builder that generates full websites, including layout, design, and marketing copy. Targeted at small businesses and freelancers who need instant online presence.",Paid,Beginner,Web,English,4.5,Medium,86%,Fast,Development,https://durable.co/,
115,Name,Company,Category,Subcategory,Input Type,Output Type,Task Description,Cost,Ease of Use,Integration,Languages,Rating,Popularity,Accuracy,Speed,Training Domain,Website,
116,Grammarly,"Grammarly, Inc.","Text, Productivity","Grammar Checking, Writing Enhancement, Style Suggestions",Text,Corrected Text,"AI-powered writing assistant to improve grammar, spelling, and style. Trained on diverse text datasets for clarity and correctness.",Freemium,Beginner,"Web, Browser, API",English,4.8,High,90–95%,Fast,Writing Enhancement & Productivity,https://www.grammarly.com/,
117,QuillBot,"QuillBot, Inc.","Text, Productivity","Paraphrasing, Summarization, Grammar Checking",Text,Rewritten Text,"AI platform for paraphrasing, summarizing, and improving written content. Trained on large language datasets.",Freemium,Beginner,"Web, API",English,4.6,High,85–90%,Fast,Writing Assistance & Productivity,https://quillbot.com/,
118,DeepL,DeepL GmbH,"Text, Productivity","Translation, Writing Assistance, Grammar Checking",Text,Translated Text,AI translation and writing assistant providing highly accurate translations and style improvements. Trained on multilingual datasets.,Paid,Beginner,"Web, API",Multilingual,4.7,High,90–95%,Fast,Translation & Writing Assistance,https://www.deepl.com/,
119,Elicit,Ought,"Text, Research","Literature Review, Research Assistance, Summarization",Text queries,Summarized Research,"AI research assistant that extracts, summarizes, and organizes academic papers and research findings.",Freemium,Intermediate,"Web, API",English,4.6,Medium,85–90%,Medium,Research & Academic Assistance,https://elicit.org/,
